Date,Venue,Home.Team,Away.Team,Home.Score,Away.Score,Home.Margin,Away.Margin,Home.Win.Odds,Away.Win.Odds,Home.Line.Odds,Away.Line.Odds,Round,Season
18/9/10,M.C.G.,St Kilda,Western Bulldogs,88,64,24,-24,1.2,4.7,-29.5,29.5,25,2010
25/9/10,M.C.G.,Collingwood,St Kilda,68,68,0,0,1.41,2.97,-16.5,16.5,26,2010
2/10/10,M.C.G.,Collingwood,St Kilda,108,52,56,-56,1.61,2.38,-9.5,9.5,26,2010
24/3/11,M.C.G.,Carlton,Richmond,104,84,20,-20,1.36,3.45,-19.5,19.5,1,2011
25/3/11,M.C.G.,Geelong,St Kilda,48,47,1,-1,2.24,1.72,6.5,-6.5,1,2011
26/3/11,Marvel,Collingwood,Port Adelaide,155,80,75,-75,1.07,11,-46.5,46.5,1,2011
26/3/11,AAMI,Adelaide,Hawthorn,105,85,20,-20,1.96,1.94,0,0,1,2011
26/3/11,Gabba,Brisbane,Fremantle,92,94,-2,2,2,1.9,0,0,1,2011
27/3/11,Marvel,Essendon,Western Bulldogs,113,58,55,-55,2.4,1.64,9.5,-9.5,1,2011
27/3/11,M.C.G.,Melbourne,Sydney,84,84,0,0,1.82,2.1,-3.5,3.5,1,2011
27/3/11,Domain,West Coast,North Melbourne,92,88,4,-4,1.65,2.38,-7.5,7.5,1,2011
1/4/11,M.C.G.,St Kilda,Richmond,95,95,0,0,1.25,4,-25.5,25.5,2,2011
2/4/11,Marvel,North Melbourne,Collingwood,56,143,-87,87,6.7,1.11,38.5,-38.5,2,2011
2/4/11,AAMI,Port Adelaide,West Coast,98,116,-18,18,1.45,2.85,-15.5,15.5,2,2011
2/4/11,Domain,Fremantle,Geelong,78,89,-11,11,1.7,2.21,-6.5,6.5,2,2011
2/4/11,Gabba,Gold Coast,Carlton,52,171,-119,119,3.95,1.27,27.5,-27.5,2,2011
3/4/11,Marvel,Western Bulldogs,Brisbane,123,45,78,-78,1.12,6.35,-38.5,38.5,2,2011
3/4/11,ANZ,Sydney,Essendon,98,93,5,-5,1.8,2.02,-3.5,3.5,2,2011
3/4/11,M.C.G.,Hawthorn,Melbourne,122,77,45,-45,1.41,2.93,-16.5,16.5,2,2011
8/4/11,M.C.G.,Collingwood,Carlton,102,74,28,-28,1.25,4.15,-25.5,25.5,3,2011
9/4/11,Marvel,Western Bulldogs,Gold Coast,122,51,71,-71,1.01,16,-70.5,70.5,3,2011
9/4/11,AAMI,Adelaide,Fremantle,54,79,-25,25,1.49,2.63,-13.5,13.5,3,2011
9/4/11,Domain,West Coast,Sydney,88,101,-13,13,1.94,1.9,0,0,3,2011
9/4/11,M.C.G.,Richmond,Hawthorn,52,115,-63,63,3.75,1.29,23.5,-23.5,3,2011
10/4/11,M.C.G.,Melbourne,Brisbane,82,71,11,-11,1.19,4.75,-31.5,31.5,3,2011
10/4/11,GMHBA,Geelong,Port Adelaide,122,43,79,-79,1.08,8,-45.5,45.5,3,2011
10/4/11,Marvel,St Kilda,Essendon,84,136,-52,52,1.82,2,-2.5,2.5,3,2011
