"","X","Date","Match_id","Season","Team","Opposition","Status","Venue","Round","results","Odds","line_Odds","Opp_Odds","Opp_lineOdds","Tips","Loss_prob","Win_Prob","Actual","Team_predicted","margin_estimate_1","margin_estimate_2","Tip_Outcome","Actual.Margin"
"75",75,"11/7/20",9978,2020,"Essendon","North Melbourne","Home","Carrara","Round 6",999,1.57,-8.5,2.35,8.5,1,0.44,0.56,1,"Essendon",9,7,1,14
"76",76,"12/7/20",9979,2020,"Port Adelaide","GWS","Home","Carrara","Round 6",999,2,1.5,1.8,-1.5,0,0.53,0.47,1,"GWS",-3,-3,0,17
"77",77,"12/7/20",9980,2020,"Richmond","Sydney","Home","Gabba","Round 6",999,1.72,-3.5,2.1,3.5,0,0.53,0.47,1,"Sydney",-3,-3,0,8
"78",78,"12/7/20",9981,2020,"Carlton","Western Bulldogs","Home","Carrara","Round 6",999,2.54,10.5,1.5,-10.5,0,0.62,0.38,1,"Western Bulldogs",-14,-14,0,52
"79",79,"9/7/20",9973,2020,"Brisbane","Geelong","Away","S.C.G.","Round 6",999,1.65,-7.5,2.25,7.5,1,0.45,0.55,0,"Brisbane",8,8,0,-27
"80",80,"10/7/20",9974,2020,"Hawthorn","Collingwood","Away","Sydney¬†Showground","Round 6",999,2.25,6.5,1.65,-6.5,0,0.58,0.42,0,"Collingwood",-9,-2,1,-32
"81",81,"11/7/20",9975,2020,"St Kilda","Fremantle","Away","Carrara","Round 6",999,1.35,-16.5,3.25,16.5,1,0.38,0.62,0,"St Kilda",16,16,0,-6
"82",82,"11/7/20",9976,2020,"Adelaide","West Coast","Away","Gabba","Round 6",999,5.57,31.5,1.13,-31.5,0,0.81,0.19,0,"West Coast",-39,-40,1,-33
"83",83,"11/7/20",9977,2020,"Gold Coast","Melbourne","Away","Sydney¬†Showground","Round 6",999,2.18,5.5,1.66,-5.5,0,0.57,0.43,0,"Melbourne",-9,-3,1,-17
"84",84,"11/7/20",9978,2020,"North Melbourne","Essendon","Away","Carrara","Round 6",999,2.35,8.5,1.57,-8.5,0,0.59,0.41,0,"Essendon",-10,-3,1,-14
"85",85,"12/7/20",9979,2020,"GWS","Port Adelaide","Away","Carrara","Round 6",999,1.8,-1.5,2,1.5,1,0.49,0.51,0,"GWS",2,6,0,-17
"86",86,"12/7/20",9980,2020,"Sydney","Richmond","Away","Gabba","Round 6",999,2.1,3.5,1.72,-3.5,0,0.55,0.45,0,"Richmond",-5,-4,1,-8
"87",87,"12/7/20",9981,2020,"Western Bulldogs","Carlton","Away","Carrara","Round 6",999,1.5,-10.5,2.54,10.5,1,0.42,0.58,0,"Western Bulldogs",11,5,0,-52
"88",88,"16/7/20",9982,2020,"Geelong","Collingwood","Home","Perth Stadium","Round 7",999,2.1,3.5,1.74,-3.5,1,0.49,0.51,0,"Geelong",3,3,0,22
"89",89,"17/7/20",9983,2020,"Essendon","Western Bulldogs","Home","Carrara","Round 7",999,1.9,-0.5,1.9,0.5,1,0.41,0.59,0,"Essendon",12,5,0,42
"90",90,"18/7/20",9984,2020,"GWS","Brisbane","Home","Sydney Showground","Round 7",999,1.72,-4.5,2.1,4.5,1,0.44,0.56,0,"GWS",8,4,0,20
"91",91,"18/7/20",9985,2020,"Sydney","Gold Coast","Home","S.C.G.","Round 7",999,2.25,5.5,1.65,-5.5,0,0.58,0.42,0,"Gold Coast",-10,-4,1,32
"92",92,"18/7/20",9986,2020,"Richmond","North Melbourne","Home","Carrara","Round 7",999,1.57,-9.5,2.37,9.5,1,0.4,0.6,1,"Richmond",14,11,1,54
"93",93,"19/7/20",9987,2020,"Carlton","Port Adelaide","Home","Gabba","Round 7",999,2.76,15.5,1.43,-15.5,0,0.64,0.36,0,"Port Adelaide",-16,-15,1,3
"94",94,"19/7/20",9988,2020,"Hawthorn","Melbourne","Home","Sydney Showground","Round 7",999,1.72,-5.5,2.1,5.5,1,0.44,0.56,0,"Hawthorn",9,5,0,43
"95",95,"19/7/20",9989,2020,"Fremantle","West Coast","Home","Perth Stadium","Round 7",999,2.85,15.5,1.41,-15.5,0,0.62,0.38,0,"West Coast",-15,-12,1,30
"96",96,"20/7/20",9990,2020,"Adelaide","St Kilda","Home","Adelaide Oval","Round 7",999,2.99,16.5,1.38,-16.5,0,0.65,0.35,0,"St Kilda",-18,-12,1,-23
"97",97,"16/7/20",9982,2020,"Collingwood","Geelong","Away","Perth Stadium","Round 7",999,1.74,-3.5,2.1,3.5,1,0.47,0.53,1,"Collingwood",5,5,1,-22
"98",98,"17/7/20",9983,2020,"Western Bulldogs","Essendon","Away","Carrara","Round 7",999,1.9,0.5,1.9,-0.5,0,0.6,0.4,1,"Essendon",-11,-5,0,-42
"99",99,"18/7/20",9984,2020,"Brisbane","GWS","Away","Sydney Showground","Round 7",999,2.1,4.5,1.72,-4.5,0,0.54,0.46,1,"GWS",-5,-5,0,-20
"100",100,"18/7/20",9985,2020,"Gold Coast","Sydney","Away","S.C.G.","Round 7",999,1.65,-5.5,2.25,5.5,1,0.43,0.57,1,"Gold Coast",10,6,1,-32
"101",101,"18/7/20",9986,2020,"North Melbourne","Richmond","Away","Carrara","Round 7",999,2.37,9.5,1.57,-9.5,0,0.61,0.39,0,"Richmond",-14,-12,1,-54
"102",102,"19/7/20",9987,2020,"Port Adelaide","Carlton","Away","Gabba","Round 7",999,1.43,-15.5,2.76,15.5,1,0.37,0.63,1,"Port Adelaide",18,12,1,-3
"103",103,"19/7/20",9988,2020,"Melbourne","Hawthorn","Away","Sydney Showground","Round 7",999,2.1,5.5,1.72,-5.5,0,0.59,0.41,1,"Hawthorn",-10,-3,0,-43
"104",104,"19/7/20",9989,2020,"West Coast","Fremantle","Away","Perth Stadium","Round 7",999,1.41,-15.5,2.85,15.5,1,0.38,0.62,1,"West Coast",16,14,1,-30
"105",105,"20/7/20",9990,2020,"St Kilda","Adelaide","Away","Adelaide Oval","Round 7",999,1.38,-16.5,2.99,16.5,1,0.37,0.63,1,"St Kilda",17,12,1,23
"106",106,"23/7/20",9982,2020,"Gold Coast","Western Bulldogs","Home","Carrara","Round 8",999,2.25,7.5,1.65,-7.5,0,0.58669126,0.413308769,0,"Western Bulldogs",-10,-5,1,-5
"107",107,"24/7/20",9983,2020,"GWS","Richmond","Home","Sydney Showground","Round 8",999,1.71,-5.5,2.15,5.5,1,0.398899764,0.601100206,1,"GWS",14,12,1,12
"108",108,"25/7/20",9984,2020,"North Melbourne","Carlton","Home","Gabba","Round 8",999,2.45,10.5,1.56,-10.5,0,0.597848833,0.402151197,0,"Carlton",-12,-6,1,-7
"109",109,"25/7/20",9985,2020,"Sydney","Hawthorn","Home","S.C.G.","Round 8",999,2.2,6.5,1.68,-6.5,0,0.548621774,0.451378256,1,"Hawthorn",-5,-6,0,7
"110",110,"25/7/20",9986,2020,"Port Adelaide","St Kilda","Home","Adelaide Oval","Round 8",999,1.4,-16.5,2.95,16.5,1,0.366940111,0.633059859,0,"Port Adelaide",18,11,0,-29
"111",111,"26/7/20",9987,2020,"Adelaide","Essendon","Home","Adelaide Oval","Round 8",999,2.7,13.5,1.47,-13.5,0,0.595082104,0.404917926,0,"Essendon",-11,-5,1,-3
"112",112,"26/7/20",9988,2020,"West Coast","Collingwood","Home","Perth Stadium","Round 8",999,1.71,-5.5,2.15,5.5,1,0.434607536,0.565392435,1,"West Coast",9,4,1,66
"113",113,"26/7/20",9989,2020,"Melbourne","Brisbane","Home","Carrara","Round 8",999,2.6,12.5,1.5,-12.5,0,0.591549218,0.408450782,0,"Brisbane",-11,-4,1,-4
"114",114,"27/7/20",9990,2020,"Fremantle","Geelong","Home","Perth Stadium","Round 8",999,2.45,10.5,1.56,-10.5,0,0.595906317,0.404093742,0,"Geelong",-11,-5,1,-32
"115",115,"23/7/20",9982,2020,"Western Bulldogs","Gold Coast","Away","Carrara","Round 8",999,1.65,-7.5,2.25,7.5,1,0.414871484,0.585128546,1,"Western Bulldogs",12,4,1,5
"116",116,"24/7/20",9983,2020,"Richmond","GWS","Away","Sydney Showground","Round 8",999,2.15,5.5,1.71,-5.5,0,0.596111655,0.403888315,0,"GWS",-11,-6,1,-12
